PARK,PARK_NO
HAMILTON (ALEXANDER),9
HAMLIN (HANNIBAL),106
HANSBERRY (LORRAINE),1111
HARDING (FREDERICK),1106
HARDING (GEORGE),1033
HARRIS (HARRIET),524
HARRIS (RYAN) MEMORIAL,1225
HARRISON (CARTER),213
HARSH (VIVIAN G.),324
HARTIGAN (DAVID) BEACH,1248
HASAN (ELLIOT),294
HAYES (FRANCIS),242
HAZELNUT,417
HERMITAGE,1008
HERMOSA,125
HIAWATHA,229
HICKORY,299
HOARD (EDISON),387
HOLLY,325
HOLLYWOOD,75
HOLSTEIN,203
HOMAN (JOSEPH),1108
HONEYSUCKLE,351
HORAN (ALBERT),1035
HORNBEAM,353
HORNER (HENRY),228
"HOUSTON (JESSIE ""MA"")",278
HOWARD (URE) BEACH,1256
HOYNE (THOMAS),1036
HUBBARD (GURDON),1109
HUCKLEBERRY,336
HUMBERT (JAMES),1121
HUMBOLDT (ALEXANDER VON),219
HURLEY (TIMOTHY),178
INDEPENDENCE,83
INDIAN BOUNDARY,165
INDIAN ROAD,1038
JACKSON (ANDREW),19
JACKSON (MAHALIA),386
JACKSON (ROBERT),1112
JACOB,156
JACOLIK (FLORIAN S.),1288
GRIFFIN (MARION MAHONY) BEACH,1257
JEFFERSON (NANCY),338
JEFFERSON (THOMAS),1113
JEFFERSON (THOMAS) MEML.,94
JENSEN (CHRIST),82
JONES (MARY RICHARDSON),479
JONQUIL,1270
JUNCTION GROVE,415
JUNIPER,392
KEDVALE,1039
KEELER (CYRUS),1114
KELLS (GEORGE),1040
KELLY (EDWARD),260
KELLY (JOHN),493
KELVYN (WILLIAM),126
KENMORE,1115
KENNEDY (DENNIS),48
KENNICOTT (JONATHAN),485
KENSINGTON,1041
KEN-WELL,1042
KENWOOD COMM.,1010
KEYSTONE,1116
KILBOURN,84
"KING (MARTIN LUTHER, JR.)",334
KIWANIS,42
KLEIN (LOIS),544
KOLMAR,85
KORCZAK (JANUSZ),1090
KOSCIUSZKO (THADEUZ),120
LINCOLN (ABRAHAM),100
KRAUSE (FRANCIS VERNON),1079
"KUCINSKI-MURPHY (VICKI, ROSEBETH)",1062
LA FOLLETTE (ROBERT),201
LAKE MEADOWS,263
LAKE SHORE,107
LAMB (HAROLD),446
LANE (GEORGE) BEACH,1265
LANGDON (MARY MARGARET),1077
LANGLEY,1118
LAWLER (MICHAEL),1011
LAZARUS (EMMA),450
LE CLAIRE COURTS - HEARST COMM. CTR.,305
LEE (JOHN),1286
LEGION,274
LELAND GIANTS,395
LEONE (SAM) BEACH,1013
LERNER (LEO),273
LEVIN (JOHN),1220
LILY GARDENS,1218
LIMAS (JULIANN HOPE),1066
LIN (MARGARET HIE DING),360
LINDBLOM (ROBERT),243
LINDEN,308
LITTLE VENICE,1055
LOGAN SQUARE SKATE PARK,549
LONDON (LOUIS),1120
LOWE (SAMUEL),1044
LOYOLA,115
LUELLA,1122
LUNA,440
"LUNT (ORRINGTON, STEPHEN)",1123
LYLE (JOHN),1267
MAGNOLIA,333
MALUS,394
MANDRAKE (HENRY BROWN),504
MANN (JAMES),17
MAPLE,1283
MAPLEWOOD,1045
MAYFAIR,86
MCGUANE (JOHN),2
MCINERNEY (THOMAS),443
MCKEON (JOSEPH),1162
MCKIERNAN (DAVID),1060
MCKINLEY (WILLIAM),23
MOUNT GREENWOOD,251
MURRAY (DAVID),1053
"MELLIN (CURTIS, SR.)",1219
MEMORIAL,1048
MERRILL (GEORGE),1126
MERRIMAC,256
MERRYMAN (THERON),1124
METCALFE (RALPH),448
MEYERING (WILLIAM),1049
MIAMI,453
MICEK (FRANK),1028
MIDWAY PLAISANCE,1268
MILLARD (ALDEN),1127
MILLER (SAMUEL),1128
MINUTEMAN,307
MOCCASIN RANCH,337
MONTGOMERY (MABEL),1129
MONTICELLO,1130
MONUMENT,57
MOORE (MAURICE),1050
MORAN (TERRANCE),1051
MORAN (TERRENCE),1051
ABBOTT (ROBERT),259
ADA (SAWYER GARRETT),45
ADAMS (GEORGE & ADELE),1019
AIELLO (JOHN),1280
ALGONQUIN,1161
ALTGELD (JOHN),206
WARNER GARDEN,521
AMUNDSEN (ROALD),129
ANDERSON (LOUIS),1020
ANDERSONVILLE,1078
ARCHER (WILLIAM BEATTY),250
ARMOUR (PHILIP) SQUARE,3
ARMSTRONG (LILLIAN HARDIN),492
ARRIGO (VICTOR),215
ASHE (ARTHUR) BEACH,459
ASHMORE,427
ASPEN,321
ASTER,343
ATHLETIC FIELD,80
AUGUSTA (CARPENTER),1021
AUSTIN (HENRY),1204
AUSTIN FOSTER,285
AUSTIN TOWN HALL,207
AVALON,29
AVONDALE,81
BACK OF THE YARDS,1063
BARAGA (FREDERICK),295
BARNARD (ERASTUS),1205
BARRETT (JOHN),1022
BARTELME (MARY),542
BAULER (MATHIAS),365
BEEHIVE,328
BEILFUSS (ALBERT W.),1003
"BELL (GEORGE,JR.)",121
BERGER (ALBERT),1255
BESSEMER (HENRY),12
BEVERLY,254
BIRCH,322
BIXLER (RAY),1083
BLACKHAWK,122
"BLACKWELDER (I.S., GERTRUDE)",373
BOGAN (WILLIAM),264
"BOLER (LEO ROSCOE, SR.)",496
BOSLEY (WILLIAM),1024
BURNHAM (DANIEL),27
CALUMET,11
BOSWELL (ARNITA YOUNG),340
BRADLEY (JOSEPHINE),1004
BRAINERD,177
BRANDS,187
BRIGHTON,426
BROADWAY ARMORY,462
BROMANN (CHARLES),435
BRONCHO BILLY,487
BROOKS (GWENDOLYN),362
BROOKS (OSCAR),61
BROWN (SIDNEY) MEML.,289
BRYNFORD,1141
PENDLETON (HADIYA),339
BUENA CIRCLE,1084
BURNSIDE (AMBROSE),363
BUTTERCUP,385
BUTTERNUT,1272
CALIFORNIA,189
CARMEN,1085
CARPENTER (PHILO),1086
CARVER (GEORGE WASHINGTON),255
KUJAWA (CHESTER FRANK),372
CEDAR,1279
CENTRAL,1087
CHALLENGER,488
CHASE (SALMON),103
CHESTNUT,1275
CHICAGO WOMEN'S PARK AND GARDENS,550
CHIPPEWA,167
CHOPIN (FREDERIC),146
CHRISTIANA,1089
CHURCHILL FIELD,412
CLAREMONT,400
CLARENDON COMM. CTR.,1002
CLARK (JOHN),1026
CLARK (RICHARD),457
CLOVER,1277
CLYBOURN (ARCHIBALD),1091
COCHRAN (JOHN),420
COLE (NAT KING),270
COLEMAN (BESSIE),292
COLISEUM,507
COLUMBIA BEACH,1251
COLUMBUS (CHRISTOPHER),209
COMMERCIAL CLUB PGD. OF CHICAGO,1006
COOPER (JACK),287
CORNELL (PAUL) SQUARE,5
COSME (MARGARET),176
COTTON TAIL,480
COTTONWOOD,416
CRAGIN,131
CRAWFORD (PETER),359
CRESCENT,47
CURIE (MARIE),408
DALEY (RICHARD J.),530
DAVIS (DR. NATHAN) SQUARE,14
DAVIS (MARGARET),1092
DAWES (CHARLES G.),239
DEAN,1027
DEARBORN (HENRY),465
WARREN (LAURENCE),428
OGDEN (WILLIAM),8
WASHINGTON (HAROLD),494
DEBOW (RUSSELL),405
DEGEORGE (BERNICE),1093
DEJULIO (ANTHONY),366
D'ELIA (AILEEN),390
DICKINSON (ARTHUR),1211
DIXON (LORRAINE),1210
DOBSON,1094
DOGWOOD,344
DONOVAN (GEORGE),1029
DOOLEY (THOMAS),296
DOUGHERTY (DANIEL),368
DOUGLAS (STEPHEN),218
DOUGLASS (ANNA & FREDERICK),218
MARQUETTE (JACQUES),10
MARSHFIELD,1046
MARTIN (JOHNNY),447
MASON (ELIZABETH),1164
MATANKY (EUGENE),168
MATHER (STEPHEN TYNG),241
WALSH (JOHN),393
WANG (CHI CHE),522
WARD (A. MONTGOMERY),511
WASHINGTON (DINAH),388
WASHINGTON (GEORGE),21
HAAS (JOSEPH),1032
DREXEL (FRANCIS),441
DUNBAR (PAUL LAURENCE),267
DUNHAM (ROBERT),258
DURKIN (MARTIN),268
DURSO (JOHN),1037
DVORAK (ANTON),216
ECKERSALL (WALTER HERBERT),232
ECKHART (BERNARD),208
EDGEBROOK,335
EDISON (THOMAS ALVA),62
EDMONDS (MOLLY),391
ELLIS (SAMUEL),1213
ELSTON (DANIEL),1097
EMERALD,1098
EMMERSON (LOUIS),104
EHRLER (WILLIAM),283
ESSEX,434
EUCLID,66
EVERGREEN,1276
FARGO (JAMES) BEACH,1253
FELLGER (CHARLES),1100
FERNWOOD,65
FIELD (EUGENE),41
FILBERT,1281
FLOWER (LUCY),431
FLYING SQUIRREL,331
FOREST GLEN,70
FOSCO (PETER),1030
FOSTER (J. FRANK),26
FRANKLIN (BENJAMIN),202
FULLER (MELVILLE),4
GAGE (GEORGE),22
GALEWOOD,130
GARFIELD (JAMES),204
GARIBALDI (GIUSEPPI),1047
GATELY (JAMES),244
GILL (JOSEPH),364
GINKGO,347
GLADSTONE (WILLIAM),93
GLADYS (GUNDERSON),1102
GOLDBERG (LOUIS),384
GOLDEN GATE,288
GOMPERS (SAMUEL),40
GOOSEBERRY,348
GOUDY (WILLIAM) SQUARE,105
GRAND,1103
GRAND CROSSING,15
GRANDPARENTS',472
GRANT (ULYSSES),24
GRAPE,381
GRAVER (PHILIP),179
GREEN (JEFFREY),1212
GREEN BRIAR,188
GREENBAUM (HENRY),132
GROSS (THEODORE),1031
HALE (NATHAN),234
MORGAN (THOMAS LEEDS) FIELD,1132
MOZART (AMADEUS),128
NORMANDY,1054
NORWOOD,141
OAKDALE,235
O'HALLAREN (BERNARD),1012
OHIO,1139
OHIO & HARDING,1138
OLYMPIA,60
ORIOLE,59
OWENS (JESSE),237
OZ,423
PALMER (POTTER),13
PARK NO. 500,500
PASCHEN (CHRISTIAN),1057
PETERSON (PEHR SAMUEL),452
PIETROWSKI (SYLVESTER),1058
PLEASANT POINT,140
POTTAWATTOMIE,166
RAINBOW BEACH,1001
REYES (GUADALUPE),352
ROBICHAUX (JOSEPH),320
ROBINSON (JACKIE),236
ROSEDALE,91
ROSENBLUM (J. LESLIE),231
RUSSELL (MARTIN) SQUARE,6
SACRAMENTO,1147
SAINT LOUIS,1149
SAUGANASH,195
SCHREIBER,1061
"SENKA (EDWARD ""DUKE"")",309
SENN (NICHOLAS),227
SEWARD (WILLIAM),108
SHABBONA,148
SHEDD (JOHN G.),212
SHERMAN (JOHN),7
SHERWOOD (JESSE),1014
SIMONS (ALMIRA),124
SKINNER (MARK),211
SMITH (WENDELL),272
SOUTH LAKEVIEW,290
STANTON (EDWIN),109
TAYLOR (ROBERT ROCHON),271
THROOP (AMOS GAGER),1159
TILL-MOBLEY (MAMIE),1154
TILTON (GEORGE),1064
"TOUHY-HERBERT (JOHN, VICTOR)",1065
WHITE (WILLYE B.),1043
"WICKER (CHARLES, JOEL)",214
WILDWOOD,257
WILLIAMS (DANIEL HALE),261
WILSON (FRANK),145
WOLFE (RICHARD),1072
WOODHULL (ROSS),1073
WRIGHTWOOD,1074
SENIOR CITIZENS MEML.,455
WENTWORTH (JOHN),238
NORTHERLY ISLAND,34
PIOTROWSKI (LILLIAN),230
PORTAGE,147
PULASKI (CASIMER),217
SHERIDAN (PHILIP HENRY),205
PROSPECT GARDENS,49
RIDGE PARK WETLANDS,490
RENAISSANCE,168
PALMISANO (HENRY),531
"TAYLOR-LAURIDSEN (JOHN, EMIL)",1025
TRUMBULL (LYMAN),16
UNION,210
WENTWORTH (JOHN) GARDENS,286
PALMER SQUARE,539
PARK NO. 569,569
PASTEUR (LOUIS),247
"MADIGAN (MICHAEL J., SR.)",484
RIDGE,175
TULEY (MURRAY),18
WEST PULLMAN,225
WEST LAWN,245
LA VILLITA,553
CANAL ORIGINS,502
TOM (PING) MEML.,481
STANTON (EDWIN),213
ANDERSON (FRED),561
NEIGHBORS' GARDEN,433
HONORÉ (BERTHA PALMER),520
BYRNES (MARIAN),562
NORTH PARK VILLAGE NATURE CENTER,533
SOUTH SHORE CULTL. CTR.,429
WINNEMAC,486
PARK NO. 564,564
HEGEWISCH MARSH,563
PARK NO. 576,576
TRIANGLE,518
WEST CHATHAM,249
"WILLIAMS-DAVIS (HATTIE KAY, IZORA)",532
VALLEY FORGE,371
QUINN (MARY),464
WEST RIDGE NATURE PARK,568
SUN YAT-SEN,451
RIVER,186
PARK NO. 517,517
NOETHLING (GRACE),425
VOGLE (HENRY JR.),402
PERIWINKLE,436
ADDAMS (JANE) MEML.,1224
"WILLIAMS-DAVIS (HATTIE KAY,IZORA)",532
WELLES (GIDEON),110
PARK NO. 540,540
PARK NO. 534,534
MUNROE,1052
JUNEWAY TERR. BEACH,1258
PRINZ (TOBEY) BEACH,1261
NORTH SHORE BEACH,1260
STARS & STRIPES,370
WHITE (JESSE),560
PARK NO. 546,546
"KING-LOCKHART (PATRICK, ANTHONY)",558
PARK NO. 574,574
ARCADE,1201
MULBERRY,1284
NASH (DON) COMM. CTR.,482
NELSON (ANDREW),1133
NICHOLS (JOHN FOUNTAIN),277
NINEBARK,355
NORTH MAYFAIR,90
NORTH PARK NATURE CENTER,533
OAKLEY,1137
ORR (REZIN),407
PACKINGTOWN,404
PRIVET,375
PARK NO. 399,399
PARK NO. 422,422
LIVINGSTON FIELD,510
HOMAN SQUARE COMMUNITY CENTER,515
PARK NO. 519,519
STONE (BERNARD),526
PARK NO. 528,528
PARK NO. 535,535
PARK NO. 551,551
DE BURGOS (JULIA),554
PARK WEST,1168
PARK-VIEW,1056
PARSONS (LUCY),501
PINE,1287
RIIS (JACOB),123
POPLAR,323
SCOTTSDALE,265
PRAIRIE WOLF,329
RAILROAD JUNCTION,354
RAINEY (EDWARD),33
RAVENSWOOD MANOR,159
REVERE (PAUL),185
ROBERTS (DANIEL) SQUARE,95
ROGERS (PHILLIP),240
ROGERS (PHILLIP) BEACH,1262
RONAN (GEORGE),275
ROOSEVELT (THEODORE),466
ROWAN (WILLIAM),248
RUTHERFORD SAYRE,127
SCHAEFER (EDWARD),1148
SENECA,1242
SHEIL (BERNARD) COMM. CTR.,398
GARFIELD (JAMES),19
SINTIC (GREGORY),1155
VITTUM (HARRIET ELIZABETH),233
SMITH (JOSEPH HIGGINS),1015
SNAPPING TURTLE,396
SNOWBERRY,389
SPIKINGS FARM,424
SPRUCE,280
STARR (ELLEN GATES),497
STOUT (FLORENCE),291
STROHACKER (HOWARD),1016
SUMAC,1273
SUMMERDALE,1151
SUPERA (LOUIS),1143
SUPERIOR,1150
SWEET CLOVER,430
SYCAMORE,1274
THE GROVE,397
PARK NO. 538,538
THUIS (GRACE ZWIEFKA),1119
TOUHY (PATRICK),246
TREBES,1017
UNITY,293
VETERANS' MEMORIAL,1067
VIOLET,361
WAGNER (CLARENCE),1068
WALLACE,1069
WALNUT,1278
WASHINGTON (HAROLD) MEM.,506
WASHTENAW,1070
WEISMAN (ALBERT),1135
WENDT (KENNETH),1145
AUBURN,1203
WESOLEK (MARLENE),1080
ELM,279
WESTERN,1165
WHITE (EDWARD),379
WIEBOLDT (WILLIAM),449
WILSON (JOHN),1071
WILSON (JOHN) COMM. CTR.,1018
WOLCOTT (ALEXANDER),403
WOOD (ELIZABETH),316
ZATTERBERG (HELEN),1107
DUBKIN (LEONARD),306
PARK NO. 514,514
PRINTERS ROW,543
WEBSTER (DANIEL),513
DONAHUE (MARGARET),570
CORNELL (PAUL),378
PARK NO. 556,556
PARK NO. 577,577
LE CLAIRE - HEARST COMM. CTR,305
PARK NO. 573,573
PARK NO. 578,578
PARK NO. 571,571
PALMER ( POTTER),13
STEELWORKERS,523
PARK NO. 588,588
PARK NO. 590,590
PARK NO. 591,591
PARK NO. 592,592
PARK NO. 580,580
PARK NO. 572,572
HERITAGE GREEN,537
GATLEY (JAMES),244
ADDAMS (JANE),262
BARBERRY,332
BIG MARSH,564
PARK NO. 584,584
PARK NO.584,584
PARK NO. 583,583
MUNROE (ROY),1052